"sku","eta"
"klc313733ch","2023-12-07 00:00:00"
"klc315032ch","2023-12-07 00:00:00"
"alg025742010fr001","2023-12-07 00:00:00"
"klc312550pn","2023-12-27 00:00:00"
"alg11716010fr001","2024-01-02 00:00:00"
"alg037321052fr001","2023-12-07 00:00:00"
"sea8790901d12","2023-10-31 00:00:00"
"klc302833vbz","2023-12-07 00:00:00"
"klc302834vbz","2023-12-07 00:00:00"
"alg036521010fr001","2023-12-27 00:00:00"
"klc300440ch","2023-12-07 00:00:00"
"klc315132pn","2023-12-07 00:00:00"
"alg034920038fr001","2023-12-07 00:00:00"
"alg034922010fr001","2023-12-07 00:00:00"
"alg034970010fr001","2023-12-27 00:00:00"
"alg035720010fr001","2023-12-07 00:00:00"
"alg037355052fr001","2023-11-09 00:00:00"
"alg030210010","2023-12-01 00:00:00"
"alg030256010","2023-12-07 00:00:00"
"alg027351010fr001","2023-12-07 00:00:00"
"klc304952cg","2023-12-07 00:00:00"
"klc390465sl","2023-12-07 00:00:00"
"sea7526304en872","2023-10-31 00:00:00"
"crystal6125","2023-12-07 00:00:00"
"crystal6141","2023-12-07 00:00:00"
"crystal6044","2023-12-01 00:00:00"
"crystal6067","2023-12-07 00:00:00"
"murol8600trdt","2023-10-31 00:00:00"
"sea6634506en872","2023-10-31 00:00:00"
"sea4190501en3962","2023-11-07 00:00:00"
"sea6113701en3962","2023-10-31 00:00:00"
"kic16154azt30","2023-10-28 00:00:00"
"far233537","2023-10-28 00:00:00"
"kic16018azt30","2023-11-13 00:00:00"
"alg030254010","2023-12-07 00:00:00"
